date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:49	4570/4570	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/css1/plagin-css/jquery.fullPage.css	C:/My%20Web%20Sites/dequinox/www.dequinox.in/css1/plagin-css/jquery.fullPage.css	(from http://www.dequinox.in/nukkad.html)
00:10:52	263406/263406	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/background-1.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/background-1.jpg	(from http://www.dequinox.in/css/style.css)
00:10:55	130893/130893	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/css1/style.css	C:/My%20Web%20Sites/dequinox/www.dequinox.in/css1/style.css	(from http://www.dequinox.in/nukkad.html)
00:10:55	1710/1710	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/css1/responsive.css	C:/My%20Web%20Sites/dequinox/www.dequinox.in/css1/responsive.css	(from http://www.dequinox.in/nukkad.html)
00:10:58	3940/3940	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/js1/plagin-js/preloader.js	C:/My%20Web%20Sites/dequinox/www.dequinox.in/js1/plagin-js/preloader.js	(from http://www.dequinox.in/nukkad.html)
00:11:00	36868/36868	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/bootstrap1/js/bootstrap.min.js	C:/My%20Web%20Sites/dequinox/www.dequinox.in/bootstrap1/js/bootstrap.min.js	(from http://www.dequinox.in/nukkad.html)
00:11:04	57343/57343	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/js1/plagin-js/plagin.js	C:/My%20Web%20Sites/dequinox/www.dequinox.in/js1/plagin-js/plagin.js	(from http://www.dequinox.in/nukkad.html)
00:11:05	14626/14626	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/js1/custom-scripts.js	C:/My%20Web%20Sites/dequinox/www.dequinox.in/js1/custom-scripts.js	(from http://www.dequinox.in/nukkad.html)
00:11:11	284394/284394	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/js1/plagin-js/jquery-1.11.3.js	C:/My%20Web%20Sites/dequinox/www.dequinox.in/js1/plagin-js/jquery-1.11.3.js	(from http://www.dequinox.in/nukkad.html)
00:11:25	43125/43125	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/vv.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/vv.jpg	(from http://www.dequinox.in/verve.html)
